YR,MON,TOTAL,ClimAdjust,ANOM
1964,01,27.33,26.27,1.06
1964,02,27.13,26.45,0.68
1964,03,27.02,26.92,0.1
1964,04,26.95,27.37,-0.42
1964,05,26.82,27.49,-0.67
1964,06,26.58,27.22,-0.64
1964,07,26.33,26.76,-0.43
1964,08,25.59,26.3,-0.72
1964,09,25.32,26.16,-0.84
1964,10,25.36,26.09,-0.73
1964,11,25.26,26.08,-0.82
1964,12,25.22,26.14,-0.92
1965,01,25.66,26.27,-0.61
1965,02,26.2,26.45,-0.25
1965,03,26.95,26.92,0.03
1965,04,27.38,27.37,0.01
1965,05,27.99,27.49,0.5
1965,06,28.08,27.22,0.86
1965,07,27.89,26.76,1.14
1965,08,27.96,26.3,1.66
1965,09,28.0,26.16,1.84
1965,10,28.15,26.09,2.06
1965,11,28.11,26.08,2.03
1965,12,27.95,26.14,1.81
1966,01,27.66,26.36,1.31
1966,02,27.55,26.56,1.0
1966,03,28.21,27.02,1.19
1966,04,28.16,27.4,0.76
1966,05,27.55,27.53,0.02
1966,06,27.63,27.35,0.29
1966,07,27.32,26.9,0.42
1966,08,26.48,26.46,0.02
1966,09,26.27,26.34,-0.07
1966,10,26.22,26.33,-0.11
1966,11,26.23,26.35,-0.12
1966,12,26.02,26.33,-0.31
1967,01,25.88,26.36,-0.48
1967,02,26.12,26.56,-0.44
1967,03,26.51,27.02,-0.51
1967,04,26.75,27.4,-0.66
1967,05,27.35,27.53,-0.18
1967,06,27.46,27.35,0.12
1967,07,26.96,26.9,0.06
1967,08,26.43,26.46,-0.03
1967,09,25.85,26.34,-0.49
1967,10,25.96,26.33,-0.36
1967,11,26.07,26.35,-0.28
1967,12,25.95,26.33,-0.38
1968,01,25.69,26.36,-0.66
1968,02,25.69,26.56,-0.86
1968,03,26.34,27.02,-0.68
1968,04,27.1,27.4,-0.3
1968,05,27.19,27.53,-0.34
1968,06,27.87,27.35,0.52
1968,07,27.57,26.9,0.66
1968,08,27.0,26.46,0.54
1968,09,26.72,26.34,0.38
1968,10,26.75,26.33,0.42
1968,11,27.2,26.35,0.85
1968,12,27.27,26.33,0.94
1969,01,27.5,26.36,1.14
1969,02,27.86,26.56,1.31
1969,03,27.83,27.02,0.81
1969,04,28.14,27.4,0.73
1969,05,28.29,27.53,0.76
1969,06,27.69,27.35,0.35
1969,07,27.08,26.9,0.18
1969,08,27.02,26.46,0.56
1969,09,27.15,26.34,0.81
1969,10,27.34,26.33,1.01
1969,11,27.11,26.35,0.76
1969,12,26.98,26.33,0.66
1970,01,26.84,26.36,0.48
1970,02,26.96,26.56,0.41
1970,03,27.15,27.02,0.13
1970,04,27.75,27.4,0.34
1970,05,27.63,27.53,0.1
1970,06,27.03,27.35,-0.31
1970,07,26.21,26.9,-0.7
1970,08,25.59,26.46,-0.87
1970,09,25.64,26.34,-0.7
1970,10,25.59,26.33,-0.73
1970,11,25.57,26.35,-0.78
1970,12,25.27,26.33,-1.06
1971,01,24.82,26.42,-1.6
1971,02,25.2,26.61,-1.42
1971,03,25.93,27.06,-1.13
1971,04,26.64,27.44,-0.8
1971,05,26.95,27.56,-0.61
1971,06,26.6,27.38,-0.78
1971,07,26.12,26.94,-0.82
1971,08,25.74,26.54,-0.79
1971,09,25.71,26.42,-0.71
1971,10,25.47,26.43,-0.96
1971,11,25.55,26.43,-0.88
1971,12,25.37,26.4,-1.03
1972,01,25.63,26.42,-0.78
1972,02,26.31,26.61,-0.3
1972,03,27.09,27.06,0.03
1972,04,27.9,27.44,0.45
1972,05,28.31,27.56,0.75
1972,06,28.18,27.38,0.8
1972,07,28.14,26.94,1.2
1972,08,27.94,26.54,1.4
1972,09,27.94,26.42,1.52
1972,10,28.25,26.43,1.83
1972,11,28.6,26.43,2.17
1972,12,28.68,26.4,2.28
1973,01,28.33,26.42,1.92
1973,02,27.95,26.61,1.34
1973,03,27.56,27.06,0.49
1973,04,27.25,27.44,-0.19
1973,05,26.97,27.56,-0.59
1973,06,26.55,27.38,-0.83
1973,07,25.76,26.94,-1.18
1973,08,25.23,26.54,-1.31
1973,09,25.06,26.42,-1.36
1973,10,24.74,26.43,-1.69
1973,11,24.34,26.43,-2.09
1973,12,24.34,26.4,-2.06
1974,01,24.47,26.42,-1.95
1974,02,25.11,26.61,-1.5
1974,03,25.86,27.06,-1.21
1974,04,26.48,27.44,-0.97
1974,05,26.65,27.56,-0.91
1974,06,26.53,27.38,-0.85
1974,07,26.39,26.94,-0.55
1974,08,26.33,26.54,-0.21
1974,09,26.07,26.42,-0.35
1974,10,25.77,26.43,-0.66
1974,11,25.61,26.43,-0.82
1974,12,25.63,26.4,-0.78
1975,01,26.1,26.42,-0.32
1975,02,26.08,26.61,-0.53
1975,03,26.21,27.06,-0.86
1975,04,26.87,27.44,-0.58
1975,05,26.8,27.56,-0.76
1975,06,26.23,27.38,-1.15
1975,07,25.9,26.94,-1.04
1975,08,25.34,26.54,-1.2
1975,09,25.05,26.42,-1.37
1975,10,24.89,26.43,-1.54
1975,11,25.05,26.43,-1.38
1975,12,24.67,26.4,-1.73
1976,01,24.54,26.39,-1.84
1976,02,25.49,26.59,-1.09
1976,03,26.46,27.04,-0.58
1976,04,26.89,27.42,-0.53
1976,05,27.2,27.51,-0.31
1976,06,27.35,27.35,-0.0
1976,07,27.12,26.95,0.17
1976,08,26.98,26.59,0.38
1976,09,27.02,26.51,0.5
1976,10,27.46,26.48,0.98
1976,11,27.41,26.46,0.95
1976,12,27.08,26.43,0.66
1977,01,27.32,26.39,0.93
1977,02,27.13,26.59,0.55
1977,03,27.48,27.04,0.44
1977,04,27.45,27.42,0.03
1977,05,27.72,27.51,0.22
1977,06,27.74,27.35,0.39
1977,07,27.38,26.95,0.42
1977,08,26.84,26.59,0.25
1977,09,27.11,26.51,0.6
1977,10,27.34,26.48,0.86
1977,11,27.18,26.46,0.72
1977,12,27.29,26.43,0.86
1978,01,27.17,26.39,0.78
1978,02,27.01,26.59,0.42
1978,03,27.1,27.04,0.06
1978,04,27.12,27.42,-0.3
1978,05,27.2,27.51,-0.31
1978,06,27.02,27.35,-0.33
1978,07,26.74,26.95,-0.22
1978,08,26.07,26.59,-0.53
1978,09,26.01,26.51,-0.5
1978,10,26.25,26.48,-0.23
1978,11,26.32,26.46,-0.14
1978,12,26.54,26.43,0.11
1979,01,26.42,26.39,0.03
1979,02,26.54,26.59,-0.04
1979,03,27.28,27.04,0.23
1979,04,27.84,27.42,0.42
1979,05,27.69,27.51,0.19
1979,06,27.43,27.35,0.08
1979,07,26.82,26.95,-0.13
1979,08,26.75,26.59,0.16
1979,09,26.99,26.51,0.48
1979,10,26.83,26.48,0.35
1979,11,26.99,26.46,0.53
1979,12,27.11,26.43,0.69
1980,01,27.09,26.39,0.7
1980,02,26.98,26.59,0.39
1980,03,27.32,27.04,0.28
1980,04,27.76,27.42,0.34
1980,05,28.02,27.51,0.51
1980,06,27.94,27.35,0.59
1980,07,27.23,26.95,0.28
1980,08,26.48,26.59,-0.11
1980,09,26.44,26.51,-0.07
1980,10,26.46,26.48,-0.02
1980,11,26.6,26.46,0.14
1980,12,26.65,26.43,0.22
1981,01,26.19,26.57,-0.38
1981,02,26.12,26.75,-0.62
1981,03,26.66,27.17,-0.51
1981,04,27.3,27.59,-0.29
1981,05,27.36,27.66,-0.3
1981,06,27.27,27.46,-0.19
1981,07,26.65,27.02,-0.37
1981,08,26.32,26.64,-0.32
1981,09,26.52,26.56,-0.04
1981,10,26.42,26.53,-0.11
1981,11,26.29,26.52,-0.23
1981,12,26.4,26.51,-0.11
1982,01,26.68,26.57,0.11
1982,02,26.6,26.75,-0.15
1982,03,27.42,27.17,0.25
1982,04,28.03,27.59,0.45
1982,05,28.39,27.66,0.72
1982,06,28.26,27.46,0.8
1982,07,27.66,27.02,0.64
1982,08,27.58,26.64,0.93
1982,09,28.2,26.56,1.64
1982,10,28.69,26.53,2.16
1982,11,28.61,26.52,2.09
1982,12,28.79,26.51,2.28
1983,01,28.88,26.57,2.32
1983,02,28.69,26.75,1.94
1983,03,28.67,27.17,1.49
1983,04,28.77,27.59,1.19
1983,05,28.84,27.66,1.18
1983,06,28.28,27.46,0.82
1983,07,27.19,27.02,0.17
1983,08,26.6,26.64,-0.04
1983,09,26.2,26.56,-0.36
1983,10,25.57,26.53,-0.96
1983,11,25.42,26.52,-1.1
1983,12,25.58,26.51,-0.94
1984,01,25.88,26.57,-0.69
1984,02,26.57,26.75,-0.18
1984,03,26.78,27.17,-0.39
1984,04,27.15,27.59,-0.44
1984,05,27.2,27.66,-0.46
1984,06,26.83,27.46,-0.63
1984,07,26.78,27.02,-0.24
1984,08,26.6,26.64,-0.04
1984,09,26.38,26.56,-0.19
1984,10,26.04,26.53,-0.49
1984,11,25.52,26.52,-1.0
1984,12,25.26,26.51,-1.25
1985,01,25.39,26.57,-1.17
1985,02,26.04,26.75,-0.71
1985,03,26.5,27.17,-0.67
1985,04,26.65,27.59,-0.93
1985,05,26.91,27.66,-0.75
1985,06,26.81,27.46,-0.65
1985,07,26.55,27.02,-0.47
1985,08,26.29,26.64,-0.35
1985,09,26.02,26.56,-0.55
1985,10,26.23,26.53,-0.3
1985,11,26.33,26.52,-0.2
1985,12,26.19,26.51,-0.32
1986,01,25.89,26.46,-0.56
1986,02,26.06,26.66,-0.6
1986,03,26.88,27.14,-0.26
1986,04,27.49,27.58,-0.08
1986,05,27.41,27.68,-0.27
1986,06,27.42,27.43,-0.01
1986,07,27.18,27.01,0.17
1986,08,27.17,26.66,0.51
1986,09,27.24,26.59,0.65
1986,10,27.51,26.54,0.98
1986,11,27.7,26.5,1.2
1986,12,27.71,26.47,1.24
1987,01,27.68,26.46,1.22
1987,02,27.89,26.66,1.23
1987,03,28.27,27.14,1.13
1987,04,28.4,27.58,0.82
1987,05,28.56,27.68,0.88
1987,06,28.64,27.43,1.21
1987,07,28.58,27.01,1.57
1987,08,28.41,26.66,1.76
1987,09,28.36,26.59,1.77
1987,10,27.95,26.54,1.42
1987,11,27.77,26.5,1.27
1987,12,27.54,26.47,1.07
1988,01,27.45,26.46,0.99
1988,02,27.04,26.66,0.37
1988,03,27.39,27.14,0.25
1988,04,27.38,27.58,-0.19
1988,05,26.68,27.68,-1.0
1988,06,25.99,27.43,-1.44
1988,07,25.56,27.01,-1.45
1988,08,25.67,26.66,-0.99
1988,09,25.72,26.59,-0.87
1988,10,24.82,26.54,-1.71
1988,11,24.66,26.5,-1.85
1988,12,24.64,26.47,-1.83
1989,01,24.59,26.46,-1.87
1989,02,25.29,26.66,-1.37
1989,03,26.09,27.14,-1.05
1989,04,26.75,27.58,-0.82
1989,05,27.07,27.68,-0.61
1989,06,27.14,27.43,-0.29
1989,07,26.71,27.01,-0.3
1989,08,26.32,26.66,-0.33
1989,09,26.41,26.59,-0.18
1989,10,26.32,26.54,-0.22
1989,11,26.25,26.5,-0.25
1989,12,26.46,26.47,-0.01
1990,01,26.56,26.46,0.11
1990,02,26.98,26.66,0.31
1990,03,27.34,27.14,0.2
1990,04,27.9,27.58,0.33
1990,05,28.02,27.68,0.34
1990,06,27.65,27.43,0.21
1990,07,27.38,27.01,0.37
1990,08,27.07,26.66,0.42
1990,09,26.94,26.59,0.35
1990,10,26.93,26.54,0.4
1990,11,26.81,26.5,0.31
1990,12,26.96,26.47,0.48
1991,01,27.04,26.59,0.45
1991,02,27.08,26.79,0.29
1991,03,27.33,27.28,0.05
1991,04,28.02,27.7,0.32
1991,05,28.2,27.8,0.4
1991,06,28.25,27.6,0.65
1991,07,28.05,27.19,0.86
1991,08,27.53,26.84,0.69
1991,09,27.14,26.78,0.36
1991,10,27.58,26.76,0.82
1991,11,27.89,26.7,1.19
1991,12,28.28,26.66,1.62
1992,01,28.37,26.59,1.78
1992,02,28.53,26.79,1.74
1992,03,28.66,27.28,1.38
1992,04,29.02,27.7,1.32
1992,05,28.97,27.8,1.16
1992,06,28.3,27.6,0.7
1992,07,27.51,27.19,0.33
1992,08,26.91,26.84,0.07
1992,09,26.66,26.78,-0.13
1992,10,26.42,26.76,-0.34
1992,11,26.42,26.7,-0.28
1992,12,26.45,26.66,-0.21
1993,01,26.7,26.59,0.1
1993,02,27.17,26.79,0.38
1993,03,27.68,27.28,0.4
1993,04,28.41,27.7,0.71
1993,05,28.71,27.8,0.91
1993,06,28.08,27.6,0.48
1993,07,27.52,27.19,0.33
1993,08,26.99,26.84,0.15
1993,09,27.07,26.78,0.29
1993,10,26.78,26.76,0.02
1993,11,26.71,26.7,0.01
1993,12,26.76,26.66,0.1
1994,01,26.65,26.59,0.06
1994,02,26.82,26.79,0.03
1994,03,27.39,27.28,0.11
1994,04,28.08,27.7,0.38
1994,05,28.24,27.8,0.43
1994,06,28.04,27.6,0.44
1994,07,27.54,27.19,0.35
1994,08,27.38,26.84,0.54
1994,09,27.19,26.78,0.41
1994,10,27.47,26.76,0.71
1994,11,27.81,26.7,1.11
1994,12,27.85,26.66,1.19
1995,01,27.57,26.59,0.98
1995,02,27.49,26.79,0.71
1995,03,27.76,27.28,0.48
1995,04,28.11,27.7,0.41
1995,05,27.83,27.8,0.02
1995,06,27.59,27.6,-0.01
1995,07,27.08,27.19,-0.11
1995,08,26.23,26.84,-0.61
1995,09,25.88,26.78,-0.9
1995,10,25.84,26.76,-0.92
1995,11,25.61,26.7,-1.1
1995,12,25.66,26.66,-1.0
1996,01,25.7,26.56,-0.86
1996,02,25.91,26.75,-0.85
1996,03,26.69,27.24,-0.56
1996,04,27.36,27.72,-0.36
1996,05,27.55,27.81,-0.26
1996,06,27.29,27.59,-0.3
1996,07,26.85,27.18,-0.32
1996,08,26.64,26.83,-0.2
1996,09,26.27,26.73,-0.45
1996,10,26.27,26.67,-0.4
1996,11,26.29,26.63,-0.34
1996,12,25.96,26.56,-0.61
1997,01,26.02,26.56,-0.54
1997,02,26.39,26.75,-0.36
1997,03,27.05,27.24,-0.2
1997,04,27.99,27.72,0.27
1997,05,28.58,27.81,0.76
1997,06,28.81,27.59,1.22
1997,07,28.85,27.18,1.67
1997,08,28.74,26.83,1.91
1997,09,28.84,26.73,2.12
1997,10,29.07,26.67,2.4
1997,11,29.11,26.63,2.48
1997,12,28.89,26.56,2.32
1998,01,28.93,26.56,2.37
1998,02,28.79,26.75,2.03
1998,03,28.63,27.24,1.38
1998,04,28.61,27.72,0.9
1998,05,28.52,27.81,0.7
1998,06,27.35,27.59,-0.24
1998,07,26.32,27.18,-0.86
1998,08,25.59,26.83,-1.25
1998,09,25.47,26.73,-1.26
1998,10,25.26,26.67,-1.41
1998,11,25.25,26.63,-1.38
1998,12,24.92,26.56,-1.64
1999,01,24.87,26.56,-1.69
1999,02,25.44,26.75,-1.31
1999,03,26.34,27.24,-0.9
1999,04,26.71,27.72,-1.0
1999,05,26.79,27.81,-1.02
1999,06,26.54,27.59,-1.05
1999,07,26.13,27.18,-1.05
1999,08,25.64,26.83,-1.19
1999,09,25.63,26.73,-1.09
1999,10,25.48,26.67,-1.19
1999,11,25.13,26.63,-1.5
1999,12,24.87,26.56,-1.7
2000,01,24.79,26.56,-1.77
2000,02,25.23,26.75,-1.53
2000,03,26.31,27.24,-0.93
2000,04,26.96,27.72,-0.75
2000,05,27.08,27.81,-0.74
2000,06,26.95,27.59,-0.64
2000,07,26.63,27.18,-0.55
2000,08,26.37,26.83,-0.47
2000,09,26.2,26.73,-0.52
2000,10,26.02,26.67,-0.65
2000,11,25.92,26.63,-0.71
2000,12,25.69,26.56,-0.88
2001,01,25.82,26.45,-0.63
2001,02,26.14,26.66,-0.53
2001,03,26.82,27.21,-0.39
2001,04,27.34,27.73,-0.39
2001,05,27.6,27.85,-0.24
2001,06,27.54,27.65,-0.11
2001,07,27.25,27.26,-0.01
2001,08,26.8,26.91,-0.1
2001,09,26.52,26.8,-0.28
2001,10,26.57,26.75,-0.18
2001,11,26.34,26.75,-0.41
2001,12,26.2,26.65,-0.46
2002,01,26.4,26.45,-0.05
2002,02,26.72,26.66,0.06
2002,03,27.3,27.21,0.09
2002,04,27.85,27.73,0.12
2002,05,28.24,27.85,0.4
2002,06,28.44,27.65,0.79
2002,07,28.03,27.26,0.77
2002,08,27.72,26.91,0.81
2002,09,27.81,26.8,1.01
2002,10,27.96,26.75,1.2
2002,11,28.16,26.75,1.41
2002,12,27.97,26.65,1.31
2003,01,27.16,26.45,0.7
2003,02,27.4,26.66,0.74
2003,03,27.66,27.21,0.45
2003,04,27.69,27.73,-0.05
2003,05,27.32,27.85,-0.52
2003,06,27.44,27.65,-0.21
2003,07,27.5,27.26,0.24
2003,08,27.11,26.91,0.2
2003,09,26.98,26.8,0.19
2003,10,27.14,26.75,0.38
2003,11,27.04,26.75,0.29
2003,12,27.04,26.65,0.38
2004,01,26.83,26.45,0.38
2004,02,27.0,26.66,0.34
2004,03,27.41,27.21,0.21
2004,04,27.89,27.73,0.16
2004,05,27.99,27.85,0.14
2004,06,27.85,27.65,0.2
2004,07,27.77,27.26,0.51
2004,08,27.6,26.91,0.7
2004,09,27.52,26.8,0.72
2004,10,27.44,26.75,0.68
2004,11,27.36,26.75,0.61
2004,12,27.34,26.65,0.69
2005,01,27.21,26.45,0.76
2005,02,27.12,26.66,0.46
2005,03,27.74,27.21,0.53
2005,04,28.09,27.73,0.35
2005,05,28.24,27.85,0.39
2005,06,27.77,27.65,0.12
2005,07,27.07,27.26,-0.19
2005,08,26.8,26.91,-0.1
2005,09,26.68,26.8,-0.11
2005,10,26.65,26.75,-0.1
2005,11,26.11,26.75,-0.64
2005,12,25.68,26.65,-0.97
2006,01,25.64,26.45,-0.81
2006,02,26.09,26.66,-0.57
2006,03,26.58,27.21,-0.62
2006,04,27.51,27.73,-0.22
2006,05,27.85,27.85,0.0
2006,06,27.73,27.65,0.08
2006,07,27.3,27.26,0.04
2006,08,27.16,26.91,0.25
2006,09,27.32,26.8,0.52
2006,10,27.42,26.75,0.66
2006,11,27.7,26.75,0.95
2006,12,27.74,26.65,1.09
2007,01,27.25,26.45,0.8
2007,02,26.9,26.66,0.23
2007,03,27.12,27.21,-0.09
2007,04,27.51,27.73,-0.22
2007,05,27.46,27.85,-0.38
2007,06,27.37,27.65,-0.28
2007,07,26.7,27.26,-0.55
2007,08,26.13,26.91,-0.77
2007,09,25.61,26.8,-1.19
2007,10,25.33,26.75,-1.43
2007,11,25.17,26.75,-1.58
2007,12,25.02,26.65,-1.63
2008,01,24.87,26.45,-1.58
2008,02,25.1,26.66,-1.56
2008,03,26.09,27.21,-1.12
2008,04,26.84,27.73,-0.9
2008,05,27.09,27.85,-0.75
2008,06,27.04,27.65,-0.61
2008,07,26.99,27.26,-0.27
2008,08,26.72,26.91,-0.18
2008,09,26.47,26.8,-0.33
2008,10,26.37,26.75,-0.39
2008,11,26.25,26.75,-0.5
2008,12,25.74,26.65,-0.91
2009,01,25.67,26.45,-0.79
2009,02,25.97,26.66,-0.69
2009,03,26.6,27.21,-0.61
2009,04,27.48,27.73,-0.26
2009,05,27.99,27.85,0.15
2009,06,28.04,27.65,0.39
2009,07,27.77,27.26,0.52
2009,08,27.42,26.91,0.51
2009,09,27.4,26.8,0.6
2009,10,27.61,26.75,0.85
2009,11,28.15,26.75,1.4
2009,12,28.33,26.65,1.68
2010,01,28.06,26.45,1.61
2010,02,28.01,26.66,1.35
2010,03,28.19,27.21,0.98
2010,04,28.21,27.73,0.48
2010,05,27.72,27.85,-0.13
2010,06,27.04,27.65,-0.61
2010,07,26.22,27.26,-1.04
2010,08,25.47,26.91,-1.44
2010,09,25.12,26.8,-1.67
2010,10,25.03,26.75,-1.73
2010,11,25.06,26.75,-1.69
2010,12,25.0,26.65,-1.65
2011,01,25.01,26.45,-1.44
2011,02,25.66,26.66,-1.0
2011,03,26.38,27.21,-0.83
2011,04,27.07,27.73,-0.67
2011,05,27.41,27.85,-0.43
2011,06,27.35,27.65,-0.3
2011,07,26.87,27.26,-0.39
2011,08,26.21,26.91,-0.7
2011,09,25.92,26.8,-0.88
2011,10,25.67,26.75,-1.09
2011,11,25.52,26.75,-1.23
2011,12,25.55,26.65,-1.11
2012,01,25.68,26.45,-0.77
2012,02,26.1,26.66,-0.57
2012,03,26.69,27.21,-0.52
2012,04,27.33,27.73,-0.4
2012,05,27.62,27.85,-0.23
2012,06,27.75,27.65,0.1
2012,07,27.54,27.26,0.28
2012,08,27.32,26.91,0.41
2012,09,27.1,26.8,0.3
2012,10,26.98,26.75,0.22
2012,11,26.86,26.75,0.11
2012,12,26.35,26.65,-0.3
2013,01,26.02,26.45,-0.43
2013,02,26.25,26.66,-0.41
2013,03,27.04,27.21,-0.16
2013,04,27.58,27.73,-0.15
2013,05,27.53,27.85,-0.31
2013,06,27.3,27.65,-0.35
2013,07,26.9,27.26,-0.36
2013,08,26.47,26.91,-0.44
2013,09,26.53,26.8,-0.26
2013,10,26.52,26.75,-0.24
2013,11,26.56,26.75,-0.19
2013,12,26.43,26.65,-0.22
2014,01,26.06,26.45,-0.39
2014,02,26.15,26.66,-0.51
2014,03,27.02,27.21,-0.19
2014,04,27.91,27.73,0.18
2014,05,28.26,27.85,0.41
2014,06,27.96,27.65,0.31
2014,07,27.23,27.26,-0.03
2014,08,26.83,26.91,-0.08
2014,09,27.01,26.8,0.21
2014,10,27.16,26.75,0.4
2014,11,27.46,26.75,0.71
2014,12,27.32,26.65,0.66
2015,01,27.06,26.45,0.61
2015,02,27.18,26.66,0.52
2015,03,27.77,27.21,0.56
2015,04,28.53,27.73,0.79
2015,05,28.85,27.85,1.01
2015,06,28.9,27.65,1.25
2015,07,28.75,27.26,1.49
2015,08,28.78,26.91,1.88
2015,09,28.92,26.8,2.12
2015,10,29.07,26.75,2.32
2015,11,29.41,26.75,2.67
2015,12,29.26,26.65,2.6
2016,01,29.11,26.45,2.66
2016,02,29.0,26.66,2.34
2016,03,28.9,27.21,1.7
2016,04,28.73,27.73,0.99
